2024-02-12 10:26:36.885 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:26:47.248 | INFO     | __main__:<module>:17 - Temp=25.4*C Humidity=34.4%
2024-02-12 10:26:57.610 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:27:07.973 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:27:18.336 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:27:28.698 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:27:39.061 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:27:49.424 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.4%
2024-02-12 10:27:59.786 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.3%
2024-02-12 10:28:10.149 | INFO     | __main__:<module>:17 - Temp=25.4*C Humidity=34.3%
2024-02-12 10:28:20.512 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.3%
2024-02-12 10:28:30.874 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.2%
2024-02-12 10:28:41.237 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.2%
2024-02-12 10:28:51.600 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.1%
2024-02-12 10:29:01.962 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.2%
2024-02-12 10:29:12.325 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:29:22.687 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.2%
2024-02-12 10:29:33.050 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:29:43.413 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.1%
2024-02-12 10:29:53.775 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.1%
2024-02-12 10:30:04.138 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
